effect,group,term,estimate,std.error,statistic,p.value,Repeat
fixed,NA,categorythe Others,0.08267571383687497,0.0804501283256178,1.0276641635952304,0.30410783059315655,148
ran_pars,participant_name,sd__(Intercept),0.6943359397473776,NA,NA,NA,148
fixed,NA,(Intercept),-0.2343263616677973,0.1405980586667579,-1.6666400936814636,0.0955859914717768,149
fixed,NA,categorythe Others,0.0187090093054069,0.08054532897872001,0.23227925868115581,0.8163211211010316,149
ran_pars,participant_name,sd__(Intercept),0.7381738846624697,NA,NA,NA,149
fixed,NA,(Intercept),-0.312186932096409,0.14056924396633697,-2.2208765110180892,0.026359326566913036,150
fixed,NA,categorythe Others,0.07246680018941185,0.08096484855294026,0.8950402734592677,0.3707655596240635,150
ran_pars,participant_name,sd__(Intercept),0.7361225291255115,NA,NA,NA,150
fixed,NA,(Intercept),-0.24552278109894715,0.13784350919014693,-1.7811704195680558,0.07488461446976692,151
fixed,NA,categorythe Others,-0.005726453983079981,0.0803685020411679,-0.07125246629763819,0.9431968254218089,151
ran_pars,participant_name,sd__(Intercept),0.7178399942328735,NA,NA,NA,151
fixed,NA,(Intercept),-0.23260179863602043,0.1370458555442349,-1.6972552560040206,0.08964841252405283,152
fixed,NA,categorythe Others,0.046693141995343565,0.08034519541944572,0.5811566174129008,0.561134903142781,152
ran_pars,participant_name,sd__(Intercept),0.7118406013187422,NA,NA,NA,152
fixed,NA,(Intercept),-0.1970798506153557,0.13249840290512568,-1.4874130275854949,0.13690575822723008,153
fixed,NA,categorythe Others,-0.04003694849408737,0.07992062961563423,-0.5009588724042693,0.6164000679276866,153
ran_pars,participant_name,sd__(Intercept),0.6785861596832532,NA,NA,NA,153
fixed,NA,(Intercept),-0.32807089118047983,0.14227892219813137,-2.305829184758813,0.02112017879282453,154
fixed,NA,categorythe Others,0.09043232624577664,0.0808698382692308,1.1182454198153646,0.26346219064620086,154
ran_pars,participant_name,sd__(Intercept),0.7493607102195806,NA,NA,NA,154
fixed,NA,(Intercept),-0.28656219539298466,0.13963581125133434,-2.052211340522049,0.04014912783102948,155
fixed,NA,categorythe Others,0.08083038841844994,0.08072188334006686,1.00134418417774,0.3166604386242639,155
ran_pars,participant_name,sd__(Intercept),0.7300001799709024,NA,NA,NA,155
fixed,NA,(Intercept),-0.2879891329972947,0.1356735586966605,-2.122662188298473,0.03378216968023312,156
fixed,NA,categorythe Others,0.0585423782342938,0.08034025910656335,0.72868047583271,0.46619713846294764,156
ran_pars,participant_name,sd__(Intercept),0.7012150507728268,NA,NA,NA,156
