time,participant,order,category,comment_timestamp,participant_name,id,utterance
0:02:29,participant01,1,0,149000000,participant_test_01,76,てんとう虫のおててがコロンコロンコローンって
0:02:32,participant01,1,0,152000000,participant_test_01,77,アンパンマンがどうしてもしたいね
0:02:34,participant01,1,0,154000000,participant_test_01,78,アンパンマーンって
0:02:35,participant01,1,0,155000000,participant_test_01,79,そうそうそう
0:02:37,participant01,1,0,157000000,participant_test_01,80,優しくね？
0:02:38,participant01,1,0,158000000,participant_test_01,81,あ、閉じれました
0:02:41,participant01,1,0,161000000,participant_test_01,82,テントウムシさん僕も一緒に遊びたいなーって
0:02:45,participant01,1,0,165000000,participant_test_01,83,じゃっくんこれできる？
0:02:49,participant01,1,0,169000000,participant_test_01,84,よし
0:02:52,participant01,1,0,172000000,participant_test_01,85,がんばれ
0:02:53,participant01,1,0,173000000,participant_test_01,86,もう一回
0:02:54,participant01,1,0,174000000,participant_test_01,87,もう一回頑張ってみて
0:02:58,participant01,1,0,178000000,participant_test_01,88,ん？
0:02:59,participant01,1,0,179000000,participant_test_01,89,うん、そう、ここピッ
0:03:01,participant01,1,0,181000000,participant_test_01,90,ピッ
0:03:02,participant01,1,0,182000000,participant_test_01,91,はい、こんにちはーって
0:03:04,participant01,1,0,184000000,participant_test_01,92,アンパンマンこんにちはー
0:03:09,participant01,1,0,189000000,participant_test_01,93,んーんーんー
0:03:11,participant01,1,0,191000000,participant_test_01,94,いいね
0:03:12,participant01,1,1,192000000,participant_test_01,95,楽しいね
0:03:16,participant01,1,0,196000000,participant_test_01,96,そしたらワンワンもいるよじゃっくん
0:03:19,participant01,1,0,199000000,participant_test_01,97,わんわん
0:03:22,participant01,1,0,202000000,participant_test_01,98,わんわん
0:03:23,participant01,1,0,203000000,participant_test_01,99,あった？
0:03:27,participant01,1,0,207000000,participant_test_01,100,ん？
0:03:29,participant01,1,0,209000000,participant_test_01,101,アンパンマンまたまた後でねって
0:03:32,participant01,1,0,212000000,participant_test_01,102,どうやって遊ぶのかな
0:03:36,participant01,1,0,216000000,participant_test_01,103,タッチタッチ
0:03:37,participant01,1,0,217000000,participant_test_01,104,これは？
0:03:38,participant01,1,0,218000000,participant_test_01,105,そうそうそうそう
0:03:40,participant01,1,0,220000000,participant_test_01,106,コロコローって回るねん
0:03:42,participant01,1,0,222000000,participant_test_01,107,これを持ち上げてー
0:03:45,participant01,1,0,225000000,participant_test_01,108,ストン！
0:03:47,participant01,1,0,227000000,participant_test_01,109,落ちたね
0:03:49,participant01,1,0,229000000,participant_test_01,110,そしたらこの子達も一緒
0:03:52,participant01,1,0,232000000,participant_test_01,111,おっ上手
0:03:53,participant01,1,0,233000000,participant_test_01,112,よっつも運べた
0:03:55,participant01,1,0,235000000,participant_test_01,113,あとふたつ残ってるよ
0:03:58,participant01,1,0,238000000,participant_test_01,114,んー？
0:04:00,participant01,1,0,240000000,participant_test_01,115,わんわん？
0:04:03,participant01,1,0,243000000,participant_test_01,116,わんわん取って取って
0:04:04,participant01,1,0,244000000,participant_test_01,117,わんわんとって
0:04:06,participant01,1,0,246000000,participant_test_01,118,あれ可愛いね
0:04:09,participant01,1,0,249000000,participant_test_01,119,じゃっくん取って
0:04:10,participant01,1,0,250000000,participant_test_01,120,取って取って
0:04:11,participant01,1,0,251000000,participant_test_01,121,マミーにちょうだい
0:04:13,participant01,1,0,253000000,participant_test_01,122,取って取って
0:04:15,participant01,1,0,255000000,participant_test_01,123,ちょうだい
0:04:17,participant01,1,0,257000000,participant_test_01,124,ちょうだい
0:04:18,participant01,1,0,258000000,participant_test_01,125,うん
0:04:20,participant01,1,0,260000000,participant_test_01,126,立ってごらん
0:04:25,participant01,1,1,265000000,participant_test_01,127,そっちがいいの？
0:04:25,participant01,1,0,265000000,participant_test_01,128,立って立って
0:04:26,participant01,1,0,266000000,participant_test_01,129,ちょうだい
0:04:27,participant01,1,0,267000000,participant_test_01,130,マミーにちょうだい
0:04:30,participant01,1,0,270000000,participant_test_01,131,ん、がんばれがんばれ
0:04:34,participant01,1,0,274000000,participant_test_01,132,あった？
0:04:36,participant01,1,0,276000000,participant_test_01,133,今度ボール？
0:04:37,participant01,1,0,277000000,participant_test_01,134,ワンワン
0:04:40,participant01,1,0,280000000,participant_test_01,135,わんわんどこ？
0:04:41,participant01,1,0,281000000,participant_test_01,136,わんわんどこ？
0:04:42,participant01,1,0,282000000,participant_test_01,137,わんわん
0:04:44,participant01,1,0,284000000,participant_test_01,138,わんわんどこ？
0:04:46,participant01,1,0,286000000,participant_test_01,139,それうーたんかな？
0:04:48,participant01,1,0,288000000,participant_test_01,140,ワンワンはどこだろ
0:04:50,participant01,1,0,290000000,participant_test_01,141,ワンワンどこー？
0:04:51,participant01,1,0,291000000,participant_test_01,142,あっ、ワンワーン
0:04:53,participant01,1,0,293000000,participant_test_01,143,ワンワーン
0:04:54,participant01,1,0,294000000,participant_test_01,144,いいね
0:05:01,participant01,1,0,301000000,participant_test_01,145,んー？
0:05:04,participant01,1,1,304000000,participant_test_01,146,見つけた？
0:05:06,participant01,1,0,306000000,participant_test_01,147,てんとう虫さんが見つかっちゃったね
