time,participant,order,category,comment_timestamp,participant_name,id,N_window,Prop_NA,Prop_FaceLooking,w_size_set
00:00:00,participant01,1,the Others,0,participant_test_01,1,2,1,NA,2
00:00:04,participant01,1,the Others,4000000,participant_test_01,2,4,0.75,0,2
00:00:05,participant01,1,the Others,5000000,participant_test_01,3,4,0.75,0,2
00:00:06,participant01,1,the Others,6000000,participant_test_01,4,4,0.75,0,2
00:00:07,participant01,1,the Others,7000000,participant_test_01,5,4,1,NA,2
00:00:08,participant01,1,the Others,8000000,participant_test_01,6,4,1,NA,2
00:00:09,participant01,1,the Others,9000000,participant_test_01,7,4,1,NA,2
00:00:11,participant01,1,the Others,11000000,participant_test_01,8,4,1,NA,2
00:00:12,participant01,1,the Others,12000000,participant_test_01,9,4,1,NA,2
00:00:13,participant01,1,the Others,13000000,participant_test_01,10,4,1,NA,2
00:00:15,participant01,1,the Others,15000000,participant_test_01,11,4,1,NA,2
00:00:16,participant01,1,the Others,16000000,participant_test_01,12,4,0.75,0.25,2
00:00:17,participant01,1,the Others,17000000,participant_test_01,13,4,0.75,0.25,2
00:00:18,participant01,1,the Others,18000000,participant_test_01,14,4,0.5,0.25,2
00:00:20,participant01,1,the Others,20000000,participant_test_01,15,4,0.25,0.25,2
00:00:22,participant01,1,Appropriate,22000000,participant_test_01,16,4,0,0.75,2
00:00:25,participant01,1,the Others,25000000,participant_test_01,17,4,0.5,0.25,2
00:00:26,participant01,1,the Others,26000000,participant_test_01,18,4,0.75,0,2
00:00:30,participant01,1,Appropriate,30000000,participant_test_01,19,4,1,NA,2
00:00:31,participant01,1,the Others,31000000,participant_test_01,20,4,1,NA,2
00:00:33,participant01,1,the Others,33000000,participant_test_01,21,4,1,NA,2
00:00:36,participant01,1,Appropriate,36000000,participant_test_01,22,4,1,NA,2
00:00:38,participant01,1,the Others,38000000,participant_test_01,23,4,1,NA,2
00:00:39,participant01,1,the Others,39000000,participant_test_01,24,4,1,NA,2
00:00:39,participant01,1,the Others,39000000,participant_test_01,25,4,1,NA,2
00:00:41,participant01,1,the Others,41000000,participant_test_01,26,4,1,NA,2
00:00:42,participant01,1,the Others,42000000,participant_test_01,27,4,1,NA,2
00:00:44,participant01,1,the Others,44000000,participant_test_01,28,4,0.75,0,2
00:00:46,participant01,1,the Others,46000000,participant_test_01,29,4,0.75,0,2
00:00:47,participant01,1,the Others,47000000,participant_test_01,30,4,1,NA,2
00:00:49,participant01,1,the Others,49000000,participant_test_01,31,4,1,NA,2
00:00:53,participant01,1,the Others,53000000,participant_test_01,32,4,0.5,0.25,2
00:00:54,participant01,1,the Others,54000000,participant_test_01,33,4,0.75,0,2
00:00:55,participant01,1,the Others,55000000,participant_test_01,34,4,1,NA,2
00:01:00,participant01,1,the Others,60000000,participant_test_01,35,4,1,NA,2
00:01:00,participant01,1,the Others,60000000,participant_test_01,36,4,1,NA,2
00:01:01,participant01,1,the Others,61000000,participant_test_01,37,4,1,NA,2
00:01:03,participant01,1,the Others,63000000,participant_test_01,38,4,1,NA,2
00:01:05,participant01,1,the Others,65000000,participant_test_01,39,4,1,NA,2
00:01:09,participant01,1,the Others,69000000,participant_test_01,40,4,1,NA,2
00:01:11,participant01,1,the Others,71000000,participant_test_01,41,4,1,NA,2
00:01:13,participant01,1,the Others,73000000,participant_test_01,42,4,1,NA,2
00:01:15,participant01,1,the Others,75000000,participant_test_01,43,4,1,NA,2
00:01:18,participant01,1,the Others,78000000,participant_test_01,44,4,1,NA,2
00:01:20,participant01,1,the Others,80000000,participant_test_01,45,4,1,NA,2
00:01:21,participant01,1,the Others,81000000,participant_test_01,46,4,1,NA,2
00:01:23,participant01,1,the Others,83000000,participant_test_01,47,4,0.5,0.25,2
00:01:27,participant01,1,the Others,87000000,participant_test_01,48,4,1,NA,2
00:01:31,participant01,1,the Others,91000000,participant_test_01,49,4,0.75,0,2
00:01:33,participant01,1,the Others,93000000,participant_test_01,50,4,0.75,0.25,2
00:01:35,participant01,1,the Others,95000000,participant_test_01,51,4,0.75,0.25,2
00:01:38,participant01,1,the Others,98000000,participant_test_01,52,4,0.75,0,2
00:01:39,participant01,1,Appropriate,99000000,participant_test_01,53,4,0.5,0.25,2
00:01:40,participant01,1,the Others,100000000,participant_test_01,54,4,0.75,0.25,2
00:01:43,participant01,1,the Others,103000000,participant_test_01,55,4,0.25,0.75,2
00:01:44,participant01,1,the Others,104000000,participant_test_01,56,4,0,0.75,2
00:01:45,participant01,1,the Others,105000000,participant_test_01,57,4,0.25,0.5,2
00:01:47,participant01,1,the Others,107000000,participant_test_01,58,4,0.75,0,2
00:01:49,participant01,1,the Others,109000000,participant_test_01,59,4,0.5,0.25,2
00:01:50,participant01,1,the Others,110000000,participant_test_01,60,4,0.25,0.5,2
00:01:51,participant01,1,the Others,111000000,participant_test_01,61,4,0,0.75,2
00:01:56,participant01,1,Appropriate,116000000,participant_test_01,62,4,0.5,0,2
00:01:58,participant01,1,the Others,118000000,participant_test_01,63,4,0.75,0,2
00:02:01,participant01,1,the Others,121000000,participant_test_01,64,4,1,NA,2
00:02:04,participant01,1,Appropriate,124000000,participant_test_01,65,4,1,NA,2
00:02:08,participant01,1,the Others,128000000,participant_test_01,66,4,1,NA,2
00:02:10,participant01,1,the Others,130000000,participant_test_01,67,4,1,NA,2
00:02:13,participant01,1,the Others,133000000,participant_test_01,68,4,1,NA,2
00:02:15,participant01,1,the Others,135000000,participant_test_01,69,4,1,NA,2
00:02:18,participant01,1,the Others,138000000,participant_test_01,70,4,1,NA,2
00:02:19,participant01,1,Appropriate,139000000,participant_test_01,71,4,1,NA,2
00:02:20,participant01,1,the Others,140000000,participant_test_01,72,4,1,NA,2
00:02:22,participant01,1,the Others,142000000,participant_test_01,73,4,0.75,0,2
00:02:23,participant01,1,the Others,143000000,participant_test_01,74,4,0.5,0.25,2
00:02:27,participant01,1,the Others,147000000,participant_test_01,75,4,0,1,2
00:02:29,participant01,1,the Others,149000000,participant_test_01,76,4,0.25,0.5,2
00:02:32,participant01,1,the Others,152000000,participant_test_01,77,4,1,NA,2
00:02:34,participant01,1,the Others,154000000,participant_test_01,78,4,1,NA,2
00:02:35,participant01,1,the Others,155000000,participant_test_01,79,4,1,NA,2
00:02:37,participant01,1,the Others,157000000,participant_test_01,80,4,0.75,0,2
00:02:38,participant01,1,the Others,158000000,participant_test_01,81,4,0.5,0,2
00:02:41,participant01,1,the Others,161000000,participant_test_01,82,4,0,0.25,2
00:02:45,participant01,1,the Others,165000000,participant_test_01,83,4,0.25,0.25,2
00:02:49,participant01,1,the Others,169000000,participant_test_01,84,4,0.25,0,2
00:02:52,participant01,1,the Others,172000000,participant_test_01,85,4,0,0,2
00:02:53,participant01,1,the Others,173000000,participant_test_01,86,4,0.25,0,2
00:02:54,participant01,1,the Others,174000000,participant_test_01,87,4,0.25,0,2
00:02:58,participant01,1,the Others,178000000,participant_test_01,88,4,0.5,0,2
00:02:59,participant01,1,the Others,179000000,participant_test_01,89,4,0.25,0,2
00:03:01,participant01,1,the Others,181000000,participant_test_01,90,4,0.5,0,2
00:03:02,participant01,1,the Others,182000000,participant_test_01,91,4,0.75,0,2
00:03:04,participant01,1,the Others,184000000,participant_test_01,92,4,1,NA,2
00:03:09,participant01,1,the Others,189000000,participant_test_01,93,4,0.25,0.5,2
00:03:11,participant01,1,the Others,191000000,participant_test_01,94,4,0,0.25,2
00:03:12,participant01,1,Appropriate,192000000,participant_test_01,95,4,0.25,0,2
00:03:16,participant01,1,the Others,196000000,participant_test_01,96,4,0.75,0,2
00:03:19,participant01,1,the Others,199000000,participant_test_01,97,4,1,NA,2
00:03:22,participant01,1,the Others,202000000,participant_test_01,98,4,0.75,0.25,2
00:03:23,participant01,1,the Others,203000000,participant_test_01,99,4,0.75,0.25,2
00:03:27,participant01,1,the Others,207000000,participant_test_01,100,4,1,NA,2
00:03:29,participant01,1,the Others,209000000,participant_test_01,101,4,0.75,0,2
00:03:32,participant01,1,the Others,212000000,participant_test_01,102,4,0.5,0,2
00:03:36,participant01,1,the Others,216000000,participant_test_01,103,4,0.25,0.25,2
00:03:37,participant01,1,the Others,217000000,participant_test_01,104,4,0.5,0,2
00:03:38,participant01,1,the Others,218000000,participant_test_01,105,4,0.75,0,2
00:03:40,participant01,1,the Others,220000000,participant_test_01,106,4,1,NA,2
00:03:42,participant01,1,the Others,222000000,participant_test_01,107,4,0.75,0,2
00:03:45,participant01,1,the Others,225000000,participant_test_01,108,4,0.75,0.25,2
00:03:47,participant01,1,the Others,227000000,participant_test_01,109,4,0.75,0.25,2
00:03:49,participant01,1,the Others,229000000,participant_test_01,110,4,0.5,0,2
00:03:52,participant01,1,the Others,232000000,participant_test_01,111,4,0.5,0.25,2
00:03:53,participant01,1,the Others,233000000,participant_test_01,112,4,0.75,0.25,2
00:03:55,participant01,1,the Others,235000000,participant_test_01,113,4,1,NA,2
00:03:58,participant01,1,the Others,238000000,participant_test_01,114,4,0.75,0,2
00:04:00,participant01,1,the Others,240000000,participant_test_01,115,4,0.75,0,2
00:04:03,participant01,1,the Others,243000000,participant_test_01,116,4,1,NA,2
00:04:04,participant01,1,the Others,244000000,participant_test_01,117,4,1,NA,2
00:04:06,participant01,1,the Others,246000000,participant_test_01,118,4,0.75,0.25,2
00:04:09,participant01,1,the Others,249000000,participant_test_01,119,4,0.75,0.25,2
00:04:10,participant01,1,the Others,250000000,participant_test_01,120,4,1,NA,2
00:04:11,participant01,1,the Others,251000000,participant_test_01,121,4,1,NA,2
00:04:13,participant01,1,the Others,253000000,participant_test_01,122,4,1,NA,2
00:04:15,participant01,1,the Others,255000000,participant_test_01,123,4,0.75,0.25,2
00:04:17,participant01,1,the Others,257000000,participant_test_01,124,4,0.75,0.25,2
00:04:18,participant01,1,the Others,258000000,participant_test_01,125,4,1,NA,2
00:04:20,participant01,1,the Others,260000000,participant_test_01,126,4,0.75,0.25,2
00:04:25,participant01,1,Appropriate,265000000,participant_test_01,127,4,1,NA,2
00:04:25,participant01,1,the Others,265000000,participant_test_01,128,4,1,NA,2
00:04:26,participant01,1,the Others,266000000,participant_test_01,129,4,1,NA,2
00:04:27,participant01,1,the Others,267000000,participant_test_01,130,4,0.75,0.25,2
00:04:30,participant01,1,the Others,270000000,participant_test_01,131,4,0.75,0.25,2
00:04:34,participant01,1,the Others,274000000,participant_test_01,132,4,1,NA,2
00:04:36,participant01,1,the Others,276000000,participant_test_01,133,4,1,NA,2
00:04:37,participant01,1,the Others,277000000,participant_test_01,134,4,1,NA,2
00:04:40,participant01,1,the Others,280000000,participant_test_01,135,4,1,NA,2
00:04:41,participant01,1,the Others,281000000,participant_test_01,136,4,1,NA,2
00:04:42,participant01,1,the Others,282000000,participant_test_01,137,4,1,NA,2
00:04:44,participant01,1,the Others,284000000,participant_test_01,138,4,1,NA,2
00:04:46,participant01,1,the Others,286000000,participant_test_01,139,4,1,NA,2
00:04:48,participant01,1,the Others,288000000,participant_test_01,140,4,1,NA,2
00:04:50,participant01,1,the Others,290000000,participant_test_01,141,4,1,NA,2
00:04:51,participant01,1,the Others,291000000,participant_test_01,142,4,1,NA,2
00:04:53,participant01,1,the Others,293000000,participant_test_01,143,4,1,NA,2
00:04:54,participant01,1,the Others,294000000,participant_test_01,144,4,1,NA,2
00:05:01,participant01,1,the Others,301000000,participant_test_01,145,4,0,0,2
00:05:04,participant01,1,Appropriate,304000000,participant_test_01,146,4,0.25,0.5,2
00:05:06,participant01,1,the Others,306000000,participant_test_01,147,4,0.75,0.25,2
00:05:11,participant01,1,Appropriate,311000000,participant_test_01,148,4,1,NA,2
00:05:14,participant01,1,the Others,314000000,participant_test_01,149,4,0.75,0,2
00:05:15,participant01,1,the Others,315000000,participant_test_01,150,4,0.5,0,2
00:05:16,participant01,1,the Others,316000000,participant_test_01,151,4,0.25,0,2
00:05:16,participant01,1,the Others,316000000,participant_test_01,152,4,0.25,0,2
00:05:18,participant01,1,the Others,318000000,participant_test_01,153,4,0.25,0,2
00:05:21,participant01,1,the Others,321000000,participant_test_01,154,4,0.25,0.25,2
00:05:22,participant01,1,the Others,322000000,participant_test_01,155,4,0.5,0.25,2
00:05:26,participant01,1,the Others,326000000,participant_test_01,156,4,1,NA,2
00:05:26,participant01,1,the Others,326000000,participant_test_01,157,4,1,NA,2
00:05:28,participant01,1,the Others,328000000,participant_test_01,158,4,0.75,0,2
00:05:28,participant01,1,the Others,328000000,participant_test_01,159,4,0.75,0,2
00:05:30,participant01,1,the Others,330000000,participant_test_01,160,4,0.5,0,2
00:05:32,participant01,1,the Others,332000000,participant_test_01,161,4,0.75,0,2
00:05:33,participant01,1,the Others,333000000,participant_test_01,162,4,0.75,0,2
00:05:35,participant01,1,the Others,335000000,participant_test_01,163,4,1,NA,2
00:05:37,participant01,1,the Others,337000000,participant_test_01,164,4,1,NA,2
00:05:40,participant01,1,the Others,340000000,participant_test_01,165,4,0.75,0,2
00:05:46,participant01,1,the Others,346000000,participant_test_01,166,4,1,NA,2
00:05:48,participant01,1,the Others,348000000,participant_test_01,167,4,1,NA,2
00:05:50,participant01,1,the Others,350000000,participant_test_01,168,4,1,NA,2
00:05:53,participant01,1,the Others,353000000,participant_test_01,169,4,1,NA,2
00:05:56,participant01,1,the Others,356000000,participant_test_01,170,4,1,NA,2
00:05:57,participant01,1,the Others,357000000,participant_test_01,171,4,1,NA,2
00:05:59,participant01,1,the Others,359000000,participant_test_01,172,4,1,NA,2
00:06:02,participant01,1,the Others,362000000,participant_test_01,173,4,1,NA,2
00:06:04,participant01,1,the Others,364000000,participant_test_01,174,4,1,NA,2
00:06:07,participant01,1,the Others,367000000,participant_test_01,175,4,1,NA,2
00:06:09,participant01,1,the Others,369000000,participant_test_01,176,4,0.75,0.25,2
00:06:12,participant01,1,the Others,372000000,participant_test_01,177,4,0.5,0.25,2
00:06:14,participant01,1,the Others,374000000,participant_test_01,178,4,1,NA,2
00:06:19,participant01,1,the Others,379000000,participant_test_01,179,4,1,NA,2
00:06:20,participant01,1,the Others,380000000,participant_test_01,180,4,1,NA,2
00:06:21,participant01,1,the Others,381000000,participant_test_01,181,4,1,NA,2
00:06:28,participant01,1,the Others,388000000,participant_test_01,182,4,0.25,0,2
00:06:29,participant01,1,the Others,389000000,participant_test_01,183,4,0,0.25,2
00:06:30,participant01,1,the Others,390000000,participant_test_01,184,4,0,0.25,2
00:06:33,participant01,1,the Others,393000000,participant_test_01,185,4,0.5,0.25,2
00:06:39,participant01,1,the Others,399000000,participant_test_01,186,4,0.5,0.5,2
